Date,Avoir
31/01/1994,775
28/02/1994,842
31/03/1994,1090
30/04/1994,976
31/05/1994,1009
30/06/1994,961
31/07/1994,883
31/08/1994,1160
30/09/1994,1223
31/10/1994,1328
30/11/1994,1439
31/12/1994,1455
31/01/1995,1334
28/02/1995,1537
31/03/1995,1375
30/04/1995,1434
31/05/1995,1483
30/06/1995,1322
31/07/1995,1293
31/08/1995,1442
30/09/1995,1640
31/10/1995,1590
30/11/1995,1630
31/12/1995,1525
31/01/1996,1367
29/02/1996,1320
31/03/1996,1204
30/04/1996,1315
31/05/1996,1355
30/06/1996,1379
31/07/1996,1343
31/08/1996,1520
30/09/1996,1727
31/10/1996,1743
30/11/1996,1798
31/12/1996,1892
31/01/1997,1892
28/02/1997,1854
31/03/1997,1683
30/04/1997,1653
31/05/1997,1757
30/06/1997,1721
31/07/1997,1875
31/08/1997,2090
30/09/1997,2472
31/10/1997,2395
30/11/1997,2366
31/12/1997,2253
31/01/1998,2214
28/02/1998,2194
31/03/1998,2018
30/04/1998,1845
31/05/1998,1743
30/06/1998,1683
31/07/1998,1729
31/08/1998,1753
30/09/1998,1877
31/10/1998,2045
30/11/1998,2015
31/12/1998,2045
31/01/1999,1898
28/02/1999,1775
31/03/1999,1731
30/04/1999,1732
31/05/1999,1818
30/06/1999,1944
31/07/1999,2040
31/08/1999,2520
30/09/1999,2546
31/10/1999,2675
30/11/1999,2697
31/12/1999,2795
31/01/2000,2929
29/02/2000,2469
31/03/2000,2306
30/04/2000,2042
31/05/2000,2034
30/06/2000,1812
31/07/2000,1792
31/08/2000,2636
30/09/2000,2645
31/10/2000,2588
30/11/2000,2482
31/12/2000,2481
31/01/2001,2040
28/02/2001,1913
31/03/2001,2416
30/04/2001,2333
31/05/2001,2426
30/06/2001,2480
31/07/2001,2572
31/08/2001,2681
30/09/2001,2533
31/10/2001,2354
30/11/2001,2412
31/12/2001,2855
31/01/2002,2598
28/02/2002,2418
31/03/2002,2105
30/04/2002,2850
31/05/2002,3081
30/06/2002,3015
31/07/2002,2971
31/08/2002,3093
30/09/2002,3003
31/10/2002,3055
30/11/2002,3105
31/12/2002,3053
31/01/2003,2926
28/02/2003,3561
31/03/2003,3411
30/04/2003,3288
31/05/2003,3182
30/06/2003,3171
31/07/2003,3337
31/08/2003,3492
30/09/2003,3359
31/10/2003,3338
30/11/2003,3465
31/12/2003,3550
31/01/2004,3594
29/02/2004,3584
31/03/2004,3255
30/04/2004,3841
31/05/2004,4108
30/06/2004,4154
31/07/2004,4389
31/08/2004,4632
30/09/2004,4954
31/10/2004,4876
30/11/2004,4784
31/12/2004,4760
31/01/2005,4854
28/02/2005,4746
31/03/2005,4490
30/04/2005,4515
31/05/2005,4590
30/06/2005,5246
31/07/2005,5555
31/08/2005,5751
30/09/2005,5782
31/10/2005,5724
30/11/2005,5720
31/12/2005,5983
31/01/2006,5772
28/02/2006,5816
31/03/2006,5308
30/04/2006,5357
31/05/2006,5253
30/06/2006,5082
31/07/2006,8424
31/08/2006,8617
30/09/2006,8835
31/10/2006,8678
30/11/2006,8412
31/12/2006,8756
31/01/2007,8882
28/02/2007,8508
31/03/2007,8513
30/04/2007,8651
31/05/2007,8868
30/06/2007,8811
31/07/2007,9107
31/08/2007,9768
30/09/2007,9514
31/10/2007,9134
30/11/2007,9456
31/12/2007,9638
31/01/2008,9598
29/02/2008,9709
31/03/2008,9777
30/04/2008,9870
31/05/2008,9969
30/06/2008,10095
31/07/2008,10629
31/08/2008,11112
30/09/2008,10795
31/10/2008,11299
30/11/2008,11509
31/12/2008,11687
31/01/2009,12120
28/02/2009,12194
31/03/2009,12276
30/04/2009,12076
31/05/2009,12133
30/06/2009,12241
31/07/2009,12996
31/08/2009,13179
30/09/2009,13341
31/10/2009,13410
30/11/2009,13088
31/12/2009,13397
31/01/2010,13442
28/02/2010,13162
31/03/2010,13084
30/04/2010,12986
31/05/2010,12788
30/06/2010,12770
31/07/2010,12396
31/08/2010,12807
30/09/2010,12937
31/10/2010,12907
30/11/2010,12860
31/12/2010,13003
31/01/2011,12661
28/02/2011,12348
31/03/2011,12125
30/04/2011,10698
31/05/2011,10200
30/06/2011,9944
31/07/2011,10668
31/08/2011,11084
30/09/2011,10857
31/10/2011,10600
30/11/2011,10524
31/12/2011,10597
31/01/2012,10535
29/02/2012,10192
31/03/2012,10216
30/04/2012,9848
31/05/2012,10045
30/06/2012,9868
31/07/2012,10318
31/08/2012,10320
30/09/2012,9951
31/10/2012,9659
30/11/2012,9748
31/12/2012,12700
31/01/2013,12480
28/02/2013,11304
31/03/2013,11279
30/04/2013,11109
31/05/2013,10451
30/06/2013,11403
31/07/2013,11514
31/08/2013,11458
30/09/2013,11377
31/10/2013,11446
30/11/2013,11798
31/12/2013,11650
31/01/2014,11739
28/02/2014,11474
31/03/2014,11273
30/04/2014,10842
31/05/2014,10861
30/06/2014,11018
31/07/2014,12155
31/08/2014,12793
30/09/2014,12938
31/10/2014,13384
30/11/2014,13125
31/12/2014,13296
31/01/2015,15196
28/02/2015,15063
31/03/2015,14790
30/04/2015,14103
31/05/2015,13995
30/06/2015,13343
31/07/2015,13453
31/08/2015,13140
30/09/2015,12845
31/10/2015,13180
30/11/2015,12567
31/12/2015,14250
31/01/2016,13451
29/02/2016,12778
31/03/2016,12460
30/04/2016,11200
31/05/2016,12078
30/06/2016,12217
31/07/2016,12293
31/08/2016,13069
30/09/2016,12807
31/10/2016,13263
30/11/2016,12268
31/12/2016,13118
31/01/2017,12392
28/02/2017,13823
31/03/2017,12879
30/04/2017,13546
31/05/2017,12529
30/06/2017,12803
31/07/2017,11977
31/08/2017,13423
30/09/2017,13211
31/10/2017,12798
30/11/2017,12351
31/12/2017,12992
31/01/2018,12193
28/02/2018,11758
31/03/2018,11527
30/04/2018,11345
31/05/2018,11219
30/06/2018,11433
31/07/2018,11193
31/08/2018,11160
30/09/2018,12201
31/10/2018,13870
30/11/2018,13139
31/12/2018,14525
