"date","confirmed","deaths","dcases","ddeaths"
2020-01-22,557,17,557,17
2020-01-23,655,18,98,1
2020-01-24,941,26,286,8
2020-01-25,1433,42,492,16
2020-01-26,2118,56,685,14
2020-01-27,2927,82,809,26
2020-01-28,5578,131,2651,49
2020-01-29,6167,133,589,2
2020-01-30,8235,171,2068,38
2020-01-31,9927,213,1692,42
2020-02-01,12038,259,2111,46
2020-02-02,16787,362,4749,103
2020-02-03,19887,426,3100,64
2020-02-04,23898,492,4011,66
2020-02-05,27643,564,3745,72
2020-02-06,30803,634,3160,70
2020-02-07,34335,719,3532,85
2020-02-08,37069,806,2734,87
2020-02-09,40096,906,3027,100
2020-02-10,42634,1013,2538,107
2020-02-11,44676,1113,2042,100
2020-02-12,45054,1118,378,5
2020-02-13,60207,1371,15153,253
2020-02-14,66691,1523,6484,152
2020-02-15,68767,1666,2076,143
2020-02-16,70880,1770,2113,104
2020-02-17,72816,1868,1936,98
2020-02-18,74610,2008,1794,140
2020-02-19,75031,2123,421,115
2020-02-20,75578,2246,547,123
2020-02-21,76207,2250,629,4
2020-02-22,77968,2457,1761,207
2020-02-23,78291,2467,323,10
2020-02-24,78855,2627,564,160
2020-02-25,79708,2707,853,80
2020-02-26,80671,2767,963,60
2020-02-27,82031,2810,1360,43
2020-02-28,83417,2867,1386,57
2020-02-29,85308,2936,1891,69
2020-03-01,87689,2990,2381,54
2020-03-02,89672,3079,1983,89
2020-03-03,92265,3154,2593,75
2020-03-04,94573,3249,2308,95
2020-03-05,97384,3343,2811,94
2020-03-06,101297,3454,3913,111
2020-03-07,105392,3558,4095,104
2020-03-08,109341,3797,3949,239
2020-03-09,113513,3987,4172,190
2020-03-10,118335,4261,4822,274
2020-03-11,125996,4604,7736,343
2020-03-12,131786,4910,5790,306
2020-03-13,146170,5406,14384,496
2020-03-14,157242,5827,11072,421
2020-03-15,168508,6468,11266,641
2020-03-16,183308,7146,14800,683
2020-03-17,199248,7960,15940,814
2020-03-18,218803,8866,19555,906
2020-03-19,245851,9977,27048,1113
2020-03-20,276625,11462,30774,1486
2020-03-21,308613,13183,31988,1722
2020-03-22,343462,14861,34849,1679
2020-03-23,386295,16808,42833,1947
2020-03-24,427446,19094,41213,2286
2020-03-25,478445,21901,50999,2807
2020-03-26,541314,24934,62869,3036
2020-03-27,606340,28416,65026,3482
2020-03-28,673616,32141,67276,3725
2020-03-29,732850,35644,59234,3503
2020-03-30,798141,39721,65291,4077
2020-03-31,874974,44481,76833,4760
2020-04-01,957753,50456,82779,5975
2020-04-02,1040803,56335,83050,5879
2020-04-03,1124353,62480,83550,6145
2020-04-04,1182733,68389,75501,6142
2020-04-05,1255320,73578,72587,5191
2020-04-06,1328458,79510,73138,5933
2020-04-07,1398267,87774,73347,8264
2020-04-08,1481603,94566,83336,6792
2020-04-09,1568582,102358,86979,7792
2020-04-10,1654114,109731,85532,7373
2020-04-11,1728402,115888,74288,6188
2020-04-12,1848063,121713,119729,5825
2020-04-13,1918716,127655,70653,5942
2020-04-14,2002668,134644,83952,6991
2020-04-15,2079806,143098,77138,8454
2020-04-16,2175321,150359,95515,7261
2020-04-17,2263292,158729,87971,8370
2020-04-18,2340501,164882,77257,6153
2020-04-19,2417076,170106,76575,5224
2020-04-20,2493043,175972,75967,5866
2020-04-21,2568755,183253,75712,7281
2020-04-22,2649996,190108,81241,6855
2020-04-23,2734219,196945,85980,6837
2020-04-24,2818276,203696,94138,6752
2020-04-25,2900500,209312,82224,5616
2020-04-26,2972060,213254,71608,3942
2020-04-27,3042220,217975,70160,4721
2020-04-28,3117743,224530,75523,6555
2020-04-29,3194843,231342,78651,6812
2020-04-30,3278329,237284,83486,5942
2020-05-01,3366698,242395,88369,5117
2020-05-02,3445891,247857,79454,5462
2020-05-03,3522254,251318,76363,3461
2020-05-04,3599915,255501,77709,4183
2020-05-05,3680413,261348,80498,5847
2020-05-06,3770439,267878,90026,6530
2020-05-07,3859142,273182,90333,5304
2020-05-08,3949419,278716,91804,5534
2020-05-09,4034641,282990,85222,4274
2020-05-10,4109609,286509,75024,3519
2020-05-11,4186226,289971,76768,3462
2020-05-12,4270705,295476,84546,5511
2020-05-13,4355661,300615,84956,5139
2020-05-14,4451884,305785,96271,5170
2020-05-15,4547598,310996,95714,5211
2020-05-16,4642027,315221,94429,4225
2020-05-17,4720026,318376,77999,3155
2020-05-18,4809186,322115,89160,3740
2020-05-19,4905958,326782,97028,4884
2020-05-20,5007835,331570,101877,4788
2020-05-21,5114465,336239,106781,4669
2020-05-22,5220885,341501,106420,5262
2020-05-23,5325669,345493,104784,3992
2020-05-24,5419873,348485,94690,3072
2020-05-25,5506583,349677,87129,3112
2020-05-26,5600550,353911,93967,4234
2020-05-27,5703303,358994,102753,5083
2020-05-28,5822585,363600,119282,4606
2020-05-29,5943483,368218,120898,4618
2020-05-30,6079986,372245,136503,4027
2020-05-31,6186388,375022,106402,2777
2020-06-01,6282369,378112,95981,3095
2020-06-02,6404307,382810,122632,4698
2020-06-03,6518532,388244,117546,5434
2020-06-04,6649467,393284,130935,5040
2020-06-05,6780685,397854,131218,4570
2020-06-06,6914411,401658,133726,3805
2020-06-07,7026738,404388,112327,2730
2020-06-08,7129195,408096,102457,3708
2020-06-09,7254224,412872,125029,4776
2020-06-10,7389323,417932,135099,5060
2020-06-11,7527313,422586,137990,4656
2020-06-12,7656049,426786,128736,4200
2020-06-13,7791280,430933,135231,4148
2020-06-14,7923511,434312,132231,3379
2020-06-15,8043120,437722,119609,3410
2020-06-16,8185075,444440,141955,6718
2020-06-17,8328674,449578,143599,5138
2020-06-18,8469656,454493,140982,4915
2020-06-19,8649486,460581,180025,6088
2020-06-20,8806851,464725,157365,4144
2020-06-21,8934476,468729,127625,4004
2020-06-22,9073736,472276,139260,3547
2020-06-23,9240486,477504,166750,5228
2020-06-24,9413010,482700,172524,5227
2020-06-25,9591294,487398,178284,4698
2020-06-26,9782810,492149,191516,4751
2020-06-27,9960874,496606,178064,4457
2020-06-28,10124644,499750,164223,3145
2020-06-29,10279900,503438,155256,3688
2020-06-30,10454316,508395,174416,4957
2020-07-01,10671834,513334,217518,4939
2020-07-02,10881664,518422,209830,5088
2020-07-03,11082972,523330,201356,4908
2020-07-04,11276665,527711,193693,4383
2020-07-05,11460491,531178,183826,3471
2020-07-06,11624301,535013,163810,3836
2020-07-07,11835456,541003,211155,5990
2020-07-08,12049423,546300,213967,5301
2020-07-09,12276027,551699,226604,5399
2020-07-10,12508478,556985,232451,5287
